module_age_years,ambient_temp_c,module_temp_c,relative_humidity_pct,daily_temp_swing_c,irradiance_kwh_m2_day,soiling_index,annual_degradation_rate_pct,cumulative_degradation_pct,current_power_ratio,fault_flag
19.46,19.8,29.79,26.17,23.19,3.61,0.174,0.3871,9.771,0.9023,0
11.25,35.26,52.71,59.23,22.02,5.14,0.147,0.4763,6.002,0.94,0
21.54,18.38,46.28,30.82,8.13,6.56,0.116,0.3188,6.2,0.938,0
17.59,25.71,43.94,82.58,10.1,3.84,0.654,0.4844,9.354,0.9065,0
2.81,23.31,40.34,81.81,2.0,4.93,0.136,0.2555,1.074,0.9893,0
24.4,29.31,59.17,49.37,22.17,4.77,0.086,0.778,21.937,0.7806,1
19.15,22.88,52.92,92.34,16.17,4.43,0.383,0.7615,16.156,0.8384,1
19.76,25.83,50.93,93.38,16.86,5.47,0.249,0.7506,17.11,0.8289,1
3.64,26.11,45.38,25.34,6.16,5.69,0.146,0.0927,0.212,0.9979,0
11.53,22.12,42.69,44.42,10.31,5.68,0.146,0.3214,6.157,0.9384,0
9.58,31.88,49.06,63.03,14.65,4.13,0.256,0.5489,6.676,0.9332,0
23.21,29.91,45.94,21.79,13.29,3.39,0.537,0.365,8.044,0.9196,0
16.27,27.29,43.02,45.61,18.82,5.49,0.758,0.5106,11.471,0.8853,0
20.66,24.56,42.85,35.89,22.08,4.64,0.853,0.4778,13.162,0.8684,0
11.36,34.37,50.16,91.16,33.89,7.22,0.751,1.2173,15.09,0.8491,1
6.07,26.11,38.73,47.93,17.86,7.27,0.628,0.3976,3.055,0.9695,0
14.09,25.55,48.86,76.01,25.81,7.39,0.908,0.678,12.976,0.8702,1
2.06,28.84,52.25,45.94,12.19,4.17,0.52,0.5505,0.0,1.0,0
20.78,41.57,73.78,25.54,6.28,5.83,0.633,1.1759,27.762,0.7224,1
15.98,17.28,35.27,84.05,15.53,6.16,0.412,0.4016,6.472,0.9353,0
19.07,34.16,57.94,15.03,6.82,6.03,0.327,0.4636,11.769,0.8823,0
9.19,12.85,36.73,19.48,18.1,4.81,0.332,0.2391,2.743,0.9726,0
24.28,29.74,50.22,44.15,12.54,6.61,0.148,0.4063,9.461,0.9054,0
22.38,40.6,67.07,69.95,4.32,5.2,0.797,1.0871,24.957,0.7504,1
19.57,31.91,58.56,42.34,30.15,5.34,0.055,0.9273,21.0,0.79,1
5.27,29.37,53.33,20.31,14.24,3.51,0.675,0.4866,2.36,0.9764,0
11.93,23.52,43.98,40.43,6.54,5.91,0.864,0.2825,2.874,0.9713,0
1.57,28.25,48.1,34.6,24.29,4.91,0.497,0.6933,0.075,0.9993,0
4.28,25.98,39.78,15.43,12.9,5.71,0.07,0.2378,2.18,0.9782,0
17.23,21.71,38.88,57.78,25.63,5.46,0.428,0.5711,13.682,0.8632,0
18.75,25.68,43.95,24.33,12.87,5.4,0.343,0.4503,5.997,0.94,0
24.2,29.59,44.84,38.0,14.21,5.15,0.986,0.5792,20.277,0.7972,1
8.48,21.86,46.5,66.3,20.41,6.07,0.691,0.6304,5.99,0.9401,0
9.58,21.55,50.73,73.01,22.15,4.98,0.721,0.672,7.764,0.9224,0
12.0,17.12,33.67,36.08,23.38,3.6,0.516,0.228,2.55,0.9745,0
5.14,31.13,54.83,41.34,17.37,5.83,0.709,0.6333,3.388,0.9661,0
3.68,32.36,48.16,34.75,21.7,4.31,0.723,0.6457,2.776,0.9722,0
12.15,29.85,50.02,91.55,23.22,3.74,0.066,0.7543,7.981,0.9202,0
6.06,35.72,53.58,30.24,19.4,4.08,0.223,0.1227,0.0,1.0,0
16.91,28.7,54.31,29.65,17.0,5.51,0.013,0.5602,12.351,0.8765,0
11.21,31.14,49.06,50.6,7.88,5.09,0.51,0.4907,3.417,0.9658,0
20.9,30.43,58.5,30.14,22.19,2.85,0.876,0.7285,17.249,0.8275,1
